id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
7451,1.189482599230097,Triplo X,5.936,696.1124988114004,"['Columbia Pictures', 'Original Film', 'Revolution Studios', 'Neal H. Moritz Productions']",925.268201020327,1.758825229446907,2002.0,"Action, Adventure, Thriller",Rob Cohen,United States,0.48
14836,1.1890482507748652,Coraline e o Mundo Secreto,7.881,665.0104969744012,"['Laika', 'Pandemonium']",764.3425742105993,1.6934613507867189,2009.0,"Animation, Drama, Family",Henry Selick,United States,0.91
155,1.179098097472646,Batman: O Cavaleiro das Trevas,8.5,928.4068176606206,"['DC', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']",1340.7701122703195,1.7743626665783083,2008.0,"Action, Crime, Drama",Christopher Nolan,"United States, United Kingdom",0.94
671,1.181285374351596,Harry Potter e a Pedra Filosofal,7.913,826.6248425230323,"['Warner Bros. Pictures', 'Heyday Films', '1492 Pictures']",1329.8615593876705,1.7743626665783083,2001.0,"Adventure, Family, Fantasy",Chris Columbus,"United Kingdom, United States",0.81
120,1.1812234856239483,O Senhor dos Anéis: A Sociedade do Anel,8.414,757.2755086672742,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",1286.9310101156984,1.7856967327208713,2001.0,"Action, Adventure, Drama",Peter Jackson,"New Zealand, United States",0.92
22,1.1801373800704515,Piratas do Caribe: A Maldição do Pérola Negra,7.804,854.847591612822,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",1185.3158615470386,1.7698770985825611,2003.0,"Action, Adventure, Fantasy",Gore Verbinski,United States,0.8
20352,1.178740261545092,Meu Malvado Favorito,7.244,693.1491493239773,"['Illumination', 'Universal Pictures']",1123.1112470656276,1.7358293061631824,2010.0,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","United States, France",0.8
808,1.1774240541723553,Shrek,7.745,665.0104969744012,"['Pacific Data Images', 'DreamWorks Animation']",1089.3012674837232,1.7307583542526332,2001.0,"Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson",United States,0.88
411,1.1789814802494722,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",7.137,920.9045274793864,"['Walt Disney Pictures', 'Walden Media', 'C.S. Lewis Company']",1230.124099207773,1.7698770985825611,2005.0,"Adventure, Family, Fantasy",Andrew Adamson,"United Kingdom, United States",0.75
14160,1.1743892097706352,Up: Altas Aventuras,7.958,913.2538535888924,['Pixar'],1225.3840977541342,1.7367949458496668,2009.0,"Animation, Adventure, Comedy","Pete Docter, Bob Peterson",United States,0.98
