id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
299536,1.188783162233943,Vingadores: Guerra Infinita,8.246,1071.258406912567,['Marvel Studios'],1647.1475431480746,1.7867955551870478,2018.0,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","United States, Norway",Bom
293660,1.1875999371544004,Deadpool,7.62,658.3580939120047,"['20th Century Fox', ""The Donners' Company"", 'Genre Films', 'Marvel Entertainment']",1247.8057985187518,1.7464937879688498,2016.0,"Action, Comedy",Tim Miller,United States,Bom
383498,1.185610904389063,Deadpool 2,7.491,795.9022237846743,"['Maximum Effort', 'Genre Films', '20th Century Fox', 'Marvel Entertainment']",1249.2090880074863,1.7554782786241152,2018.0,"Action, Adventure, Comedy",David Leitch,"United States, Canada",Bom
324786,1.1765798111857466,Até o Último Homem,8.197,589.6464974235987,"['Summit Entertainment', 'Pandemonium', 'Cross Creek Pictures', 'Permut Presentations', 'Vendian Entertainment', 'Argent Pictures', 'IM Global', 'AI Film', 'Bliss Media', 'Lionsgate', 'Kylin Pictures', 'Cosmos Filmed Entertainment']",810.4693525780941,1.7682851337281016,2016.0,"Biography, Drama, History",Mel Gibson,United States,Bom
127585,1.1763469646965647,X-Men: Dias de um Futuro Esquecido,7.533,1014.976570622467,"['Bad Hat Harry Productions', ""The Donners' Company"", '20th Century Fox', 'Marvel Entertainment', 'TSG Entertainment', 'Genre Films']",1231.4782283556783,1.7631802541465882,2014.0,"Action, Adventure, Sci-Fi",Bryan Singer,"United Kingdom, United States, Canada",Bom
335984,1.1728953501232833,Blade Runner 2049,7.563,872.4970788168314,"['Alcon Entertainment', 'Columbia Pictures', 'Scott Free Productions', 'Bud Yorkin Productions', 'Torridon Films', '16:14 Entertainment', 'Thunderbird Entertainment']",907.3262636487924,1.7797505643730205,2017.0,"Action, Drama, Mystery",Denis Villeneuve,"United States, United Kingdom, Canada, Spain",Bom
177572,1.1730447109956694,Operação Big Hero,7.735,897.4775534670842,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",1186.7826456671305,1.7422828904202223,2014.0,"Animation, Action, Adventure","Don Hall, Chris Williams",United States,Bom
138843,1.173165632471455,Invocação do Mal,7.544,422.2708566907447,"['Evergreen Media Group', 'New Line Cinema', 'The Safran Company']",964.4897125090704,1.7504152723237256,2013.0,"Horror, Mystery, Thriller",James Wan,United States,Bom
271110,1.1739459908430732,Capitão América: Guerra Civil,7.444,1014.976570622467,['Marvel Studios'],1395.7910732246114,1.7666403559119883,2016.0,"Action, Sci-Fi","Anthony Russo, Joe Russo","United States, Germany",Bom
106646,1.1724155332088728,O Lobo de Wall Street,8.036,773.738369595749,"['Red Granite Pictures', 'Appian Way', 'Sikelia Productions', 'EMJAG Productions']",1022.251760884336,1.7860661042539778,2013.0,"Biography, Comedy, Crime",Martin Scorsese,United States,Bom
109445,1.1732960536115655,Frozen: Uma Aventura Congelante,7.245,872.4970788168314,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",1435.8380807772585,1.7422828904202223,2013.0,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee",United States,Bom
150689,1.1692141632625423,Cinderela,6.815,762.0658744757663,"['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",1123.2483449767676,1.744846101408145,2015.0,"Adventure, Drama, Family",Kenneth Branagh,"United Kingdom, United States, Denmark, Canada, Italy",Bom
49026,1.170725354154937,Batman: O Cavaleiro das Trevas Ressurge,7.8,1014.976570622467,"['Syncopy', 'Legendary Pictures', 'DC Entertainment', 'Warner Bros. Pictures']",1369.4165762177329,1.780172432365869,2012.0,"Action, Drama, Thriller",Christopher Nolan,"United States, United Kingdom",Bom
68721,1.1669956607401435,Homem de Ferro 3,6.929,950.0887855101364,['Marvel Studios'],1416.4818823604485,1.7625800402562797,2013.0,"Action, Adventure, Sci-Fi",Shane Black,United States,Bom
102899,1.1615452042918404,Homem-Formiga,7.077,836.2855543130546,['Marvel Studios'],1108.5953307986797,1.752642564054737,2015.0,"Action, Comedy, Sci-Fi",Peyton Reed,United States,Bom
166428,1.1596378813758563,Como Treinar o Seu Dragão 3,7.753,834.3746374855697,"['DreamWorks Animation', 'Mad Hatter Entertainment']",1111.8259498984212,1.744846101408145,2019.0,"Animation, Action, Adventure",Dean DeBlois,"United States, Japan",Bom
381288,1.1684173829601867,Fragmentado,7.346,378.5053405842861,"['Universal Pictures', 'Blinding Edge Pictures', 'Blumhouse Productions']",926.2346730050068,1.7540788761038648,2016.0,"Horror, Thriller",M. Night Shyamalan,"United States, Japan",Bom
287947,1.1669422843391526,Shazam!,7.013,724.2216935817777,"['New Line Cinema', 'The Safran Company', 'Seven Bucks Productions', 'DC Films']",1003.638573856474,1.7631802541465882,2019.0,"Action, Adventure, Comedy",David F. Sandberg,"United States, Canada",Bom
146233,1.1614540635107369,Os Suspeitos,8.099,614.6124356806018,"['Alcon Entertainment', '8:38 Productions', 'Madhouse Entertainment']",730.1656802283179,1.7748361140871007,2013.0,"Crime, Drama, Mystery",Denis Villeneuve,United States,Bom
330457,1.1688389425410293,Frozen 2,7.3,872.4970788168314,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",1491.3848549577422,1.743149916696921,2019.0,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee","Japan, United States",Bom
