id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
1022789,1.1961682288595887,Divertida Mente 2,7.663,950.0887855101364,"['Walt Disney Pictures', 'Pixar']",1540.2863877769094,1.7405093840445414,2024.0,"Animation, Adventure, Comedy",Kelsey Mann,"United States, Japan",Excelente
1160018,1.1947929537508657,KILL: O Massacre no Trem,7.006,272.776456023954,"['Sikhya Entertainment', 'Dharma Productions']",295.9280489128862,1.744846101408145,2023.0,"Action, Crime, Drama",Nikhil Nagesh Bhat,"India, United States",Excelente
762441,1.1941166366202631,Um Lugar Silencioso: Dia Um,6.873,687.1303864989242,"['Paramount Pictures', 'Platinum Dunes', 'Sunday Night Productions']",908.993526047216,1.7396022358046472,2024.0,"Drama, Horror, Sci-Fi",Michael Sarnoski,"United States, United Kingdom, Canada",Excelente
786892,1.1919762181471163,Furiosa: Uma Saga Mad Max,7.599,905.4474925187592,"['Warner Bros. Pictures', 'Kennedy Miller Mitchell', 'Domain Entertainment']",807.0806855343428,1.77242039486982,2024.0,"Action, Adventure, Sci-Fi",George Miller,"Australia, United States",Excelente
1051891,1.1912292547077012,Thelma,7.074,317.70003892343505,"['Zurich Avenue', 'Invention Studios', 'Bandwagon']",338.87976609765855,1.73868102547898,2024.0,"Action, Comedy",Josh Margolin,"Switzerland, United States",Excelente
592695,1.1874740814860003,Pleasure,6.234,234.13812834509656,"['Film i Väst', 'Flamboyance Films', 'Lemming Film', 'Plattform Produktion', 'SVT', 'Logical Pictures', 'Grand Slam Film Production', 'SF Studios']",137.6093325082968,1.7473001548794609,2021.0,Drama,Ninja Thyberg,"Sweden, Netherlands, France",Excelente
569094,1.1848126788600055,Homem-Aranha: Através do Aranhaverso,8.356,773.738369595749,"['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions', 'Marvel Entertainment']",1203.6785716439442,1.7682851337281016,2023.0,"Animation, Action, Adventure","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",United States,Excelente
634649,1.1849143662565322,Homem-Aranha: Sem Volta Para Casa,7.961,950.0887855101364,"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",1616.2612123048227,1.772913398964287,2021.0,"Action, Adventure, Fantasy",Jon Watts,United States,Excelente
693134,1.1841973016072789,Duna: Parte Dois,8.168,935.7674985505848,['Legendary Pictures'],1214.084250146631,1.780590424714951,2024.0,"Action, Adventure, Drama",Denis Villeneuve,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",Excelente
938614,1.1843511848206287,Entrevista com o Demônio,7.322,241.63797423605405,"['Spooky Pictures', 'Future Pictures', 'Good Fiend Films', 'Image Nation Abu Dhabi', 'VicScreen', 'AGC Studios']",372.2754031781475,1.7338507920995114,2023.0,Horror,"Cameron Cairnes, Colin Cairnes","Australia, United States, United Arab Emirates",Excelente
603692,1.182340894818478,John Wick 4: Baba Yaga,7.746,749.9518823613001,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg']",1056.9815648380754,1.781821728099669,2023.0,"Action, Crime, Thriller",Chad Stahelski,"Germany, United States",Excelente
560016,1.183582941792178,Fúria Primitiva,6.996,390.5635313995352,"['Thunder Road', 'Bron Studios', 'Monkeypaw Productions', 'Minor Realm', 'Creative Wealth Media Finance', ""S'YA Concept""]",507.0304995303912,1.757511532825225,2024.0,"Action, Crime, Thriller",Dev Patel,"United States, Canada, Singapore, India",Excelente
940721,1.182377751129476,Godzilla Minus One,7.584,440.62772745833,"['TOHO', 'TOHO Studios', 'Robot Communications']",719.1389206106627,1.758825229446907,2023.0,"Action, Adventure, Drama",Takashi Yamazaki,Japan,Excelente
872585,1.1805456345581011,Oppenheimer,8.095,773.738369595749,"['Syncopy', 'Universal Pictures', 'Atlas Entertainment']",1320.1703913463386,1.786432364012315,2023.0,"Biography, Drama, History",Christopher Nolan,"United States, United Kingdom",Excelente
1062807,1.1805555812906587,SPY x FAMILY CÓDIGO: Branco,6.9,317.70003892343505,"['WIT STUDIO', 'CloverWorks', 'TOHO', 'Shueisha', 'TV Tokyo', 'Shogakukan-Shueisha Productions']",592.4971642550205,1.7488792769035868,2023.0,"Animation, Action, Comedy","Kazuhiro Furuhashi, Takashi Katagiri",Japan,Excelente
346698,1.1787337281452632,Barbie,7.0,863.7796176473538,"['LuckyChap Entertainment', 'Heyday Films', 'NB/GG Pictures', 'Mattel', 'Warner Bros. Pictures']",1489.0027245308231,1.751910058033398,2023.0,"Adventure, Comedy, Fantasy",Greta Gerwig,"United States, United Kingdom",Excelente
575264,1.1765380572057658,Missão: Impossível - Acerto de Contas Parte 1,7.556,1061.6438873251916,"['Paramount Pictures', 'Skydance Media', 'TC Productions']",1137.3387242804208,1.7757690186963349,2023.0,"Action, Adventure, Thriller",Christopher McQuarrie,United States,Excelente
508883,1.1806755357877574,O Menino e a Garça,7.517,630.0048228145553,['Studio Ghibli'],941.0475734859792,1.758825229446907,2023.0,"Animation, Adventure, Drama",Hayao Miyazaki,Japan,Excelente
792307,1.1734796710995612,Pobres Criaturas,7.775,566.7362352585743,"['Searchlight Pictures', 'Film4 Productions', 'TSG Entertainment', 'Element Pictures', 'Limp', 'Fruit Tree']",722.2583341174737,1.76882151667183,2023.0,"Comedy, Drama, Romance",Yorgos Lanthimos,"Ireland, United Kingdom, United States, Hungary",Excelente
508947,1.1718339153495578,Red: Crescer é Uma Fera,7.377,913.2538535888924,"['Walt Disney Pictures', 'Pixar']",440.8476156145978,1.7405093840445414,2022.0,"Animation, Adventure, Comedy",Domee Shi,"United States, Canada",Excelente
937287,1.1681214930027315,Rivais,7.148,648.0693641222549,"['Pascal Pictures', 'Why Are You Acting? Productions', 'Frenesy Film', 'Metro-Goldwyn-Mayer']",677.3820438458989,1.7637735310728144,2024.0,"Comedy, Drama, Romance",Luca Guadagnino,"United States, Italy",Excelente
760104,1.1677906781878744,X: A Marca da Morte,6.738,196.31898957073963,"['A24', 'Little Lamb Productions']",398.9660740018738,1.7456758625083062,2022.0,"Horror, Mystery, Thriller",Ti West,United States,Excelente
677179,1.16737020028104,Creed III,7.127,710.4976273156224,"['Metro-Goldwyn-Mayer', 'Chartoff-Winkler Productions', 'Proximity Media', 'Outlier Society']",923.1957926414852,1.75336543400983,2023.0,"Action, Drama, Sport",Michael B. Jordan,United States,Excelente
614930,1.165638885751634,As Tartarugas Ninja: Caos Mutante,7.248,710.4976273156224,"['Paramount Pictures', 'Nickelodeon Movies', 'Point Grey Pictures', 'Cinesite Animation', 'Mikros Animation']",817.3503096986055,1.7405093840445414,2023.0,"Animation, Action, Adventure","Jeff Rowe, Kyler Spears","United States, Japan, Canada",Excelente
1026227,1.1732952829441832,Ainda Temos o Amanhã,8.2,378.5053405842861,"['Wildside', 'Vision Distribution', 'Sky Studios']",556.6895708697083,1.7547830923135093,2023.0,"Comedy, Drama",Paola Cortellesi,Italy,Excelente
949423,1.1575107984208883,Pearl: Uma História de Origem 'X',7.277,365.48261892471015,"['A24', 'Little Lamb Productions']",355.3545374806301,1.743149916696921,2022.0,"Drama, Horror, Thriller",Ti West,United States,Excelente
467244,1.1665230025165558,Zona de Interesse,7.139,440.62772745833,"['A24', 'Film4 Productions', 'Access Entertainment', 'JW Films', 'Extreme Emotions']",560.7391009090351,1.744846101408145,2023.0,"Drama, History, War",Jonathan Glazer,"United Kingdom, Poland, United States",Excelente
666277,1.157840269404942,Vidas Passadas,7.778,412.3360481502168,"['A24', 'Killer Films', '2AM', 'CJ ENM']",477.6148068629303,1.7456758625083062,2023.0,"Drama, Romance",Celine Song,"United States, South Korea",Excelente
508943,1.165202026293204,Luca,7.824,950.0887855101364,"['Pixar', 'Walt Disney Pictures']",567.5852396053577,1.7414028222841826,2021.0,"Animation, Adventure, Comedy",Enrico Casarosa,United States,Excelente
527774,1.1593896574137743,Raya e o Último Dragão,7.85,773.738369595749,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",744.1540301843045,1.7464937879688498,2021.0,"Animation, Action, Adventure","Don Hall, Carlos López Estrada, Paul Briggs",United States,Excelente
629542,1.1515432996898884,Os Caras Malvados,7.555,724.2216935817777,"['DreamWorks Animation', 'Scholastic Entertainment', 'dentsu', 'Universal Pictures']",898.0446021078926,1.7405093840445414,2022.0,"Animation, Adventure, Comedy",Pierre Perifel,"United States, United Kingdom",Excelente
1112426,1.1599143310809987,स्त्री २,6.083,334.82058384402444,"['Maddock Films', 'Jio Studios']",512.0472323435772,1.771922291834254,2024.0,"Comedy, Horror",Amar Kaushik,India,Excelente
913290,1.140719886029954,Noites Brutais,6.843,307.8720692832528,"['BoulderLight Pictures', 'Vertigo Entertainment', 'Regency Enterprises', 'Hammerstone Studios', 'Almost Never Films', '20th Century Studios']",548.5801799774667,1.743149916696921,2022.0,"Horror, Mystery, Thriller",Zach Cregger,"United States, Bulgaria",Excelente
838240,1.1625623726231946,Meu Amigo Robô,8.107,323.267974692038,"['Arcadia Motion Pictures', 'LokizFilms', 'Noodles Production', 'Les films du Worso']",283.4470544905558,1.7422828904202223,2023.0,"Animation, Drama, Family",Pablo Berger,"Spain, France",Excelente
545611,1.1605930876678698,Tudo em Todo o Lugar ao Mesmo Tempo,7.786,512.855496212847,"['IAC Films', 'AGBO', 'Ley Line Entertainment', 'Year of the Rat']",758.2786472017928,1.7677428844515686,2022.0,"Action, Adventure, Comedy","Daniel Kwan, Daniel Scheinert",United States,Excelente
840326,1.1595440556349397,Sisu: Uma História de Determinação,7.468,338.7396151339046,"['Subzero Film Entertainment', 'Good Chaos', 'Stage 6 Films']",381.9189483188055,1.687797021324689,2022.0,"Action, War",Jalmari Helander,"Finland, United Kingdom, United States",Excelente
923667,1.1570303634367114,Crepúsculo dos Guerreiros: Walled In,7.2,582.5465484693319,"['Entertaining Power', 'One Cool Pictures', 'Sil-Metropole Organisation', 'Lian Ray Pictures', 'HG Entertainment', 'Zhejiang Hengdian Film Production', 'Tao Piao Piao', 'Media Asia']",551.9319307752124,1.756164625255987,2024.0,"Action, Crime, Thriller",Soi Cheang,Hong Kong,Excelente
