id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
411,1.1789814802494722,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",7.137,920.9045274793864,"['Walt Disney Pictures', 'Walden Media', 'C.S. Lewis Company']",1230.124099207773,1.7698770985825611,2005.0,"Adventure, Family, Fantasy",Andrew Adamson,"United Kingdom, United States",Regular
17379,1.1680758636627724,As Férias da Minha Vida,7.172,610.617762353452,"['Paramount Pictures', 'ImageMovers']",522.6428887577894,1.7504152723237256,2006.0,"Comedy, Drama, Romance",Wayne Wang,United States,Regular
10138,1.175783602804095,Homem de Ferro 2,6.842,950.0887855101364,"['Marvel Studios', 'Fairview Entertainment', 'Marvel Entertainment']",1168.8251642633973,1.758825229446907,2010.0,"Action, Sci-Fi",Jon Favreau,United States,Regular
4513,1.172782774746293,30 Dias de Noite,6.417,541.3867002838599,"['HorrorFlix', 'Columbia Pictures', 'Ghost House Pictures', 'Dark Horse Entertainment', 'Mandate International']",635.4811480670292,1.7511677012633269,2007.0,"Action, Horror, Thriller",David Slade,"United States, New Zealand",Regular
58,1.1747833334875886,Piratas do Caribe: O Baú da Morte,7.362,950.0887855101364,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",1363.7891233705714,1.773884451904003,2006.0,"Action, Adventure, Fantasy",Gore Verbinski,United States,Regular
1579,1.1712830039613034,Apocalypto,7.581,589.6464974235987,"['Icon Entertainment International', 'Icon Productions', 'Touchstone Pictures']",727.6129351250979,1.7677428844515686,2006.0,"Action, Adventure, Drama",Mel Gibson,"United States, Mexico",Regular
10192,1.170438548118848,Shrek Para Sempre: O Capítulo Final,6.4,897.4775534670842,['DreamWorks Animation'],1233.7216042368393,1.7338507920995114,2010.0,"Animation, Adventure, Comedy",Mike Mitchell,"United States, France",Regular
559,1.1702216939744423,Homem-Aranha 3,6.429,1024.4849950334724,"['Laura Ziskin Productions', 'Marvel Studios', 'Columbia Pictures']",1296.8853107220566,1.7677428844515686,2007.0,"Action, Adventure, Sci-Fi",Sam Raimi,United States,Regular
11036,1.16995309214051,Diário de uma Paixão,7.89,535.964691598378,"['New Line Cinema', 'Avery Pix', 'Gran Via Productions']",718.6771713544654,1.7581724472727822,2004.0,"Drama, Romance",Nick Cassavetes,United States,Regular
13183,1.1613887191979275,Watchmen: O Filme,7.336,836.2855543130546,"['Warner Bros. Pictures', 'Paramount Pictures', 'Legendary Pictures', 'DC', 'Lawrence Gordon Productions', 'Lloyd Levin Productions']",823.4940883361584,1.779324760838742,2009.0,"Action, Drama, Mystery",Zack Snyder,United States,Regular
1724,1.1646947834936512,O Incrível Hulk,6.2,872.4970788168314,"['Marvel Studios', 'Valhalla Motion Pictures', 'Marvel Entertainment']",794.6256372398042,1.756164625255987,2008.0,"Action, Adventure, Sci-Fi",Louis Leterrier,"United States, Canada",Regular
1271,1.1486782472184995,300,7.185,680.9836008003193,"['Virtual Studios', 'Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Nimar Studios', 'Warner Bros. Pictures', 'Cruel & Unusual Films']",1067.86822162178,1.75336543400983,2006.0,"Action, Drama",Zack Snyder,"United States, Canada, Bulgaria",Regular
1278,1.1477156737415468,Os Sonhadores,7.212,440.62772745833,"['Recorded Picture Company', 'Peninsula Films', 'HanWay Films', 'MEDIA Programme of the European Union', 'TELE+', 'Fox Searchlight Pictures']",398.86575775742426,1.75336543400983,2003.0,"Drama, Romance",Bernardo Bertolucci,"United Kingdom, France, Italy, United States",Regular
11619,1.1627986997741189,Por Água Abaixo,6.3,870.7701572603503,"['DreamWorks Animation', 'Aardman']",814.2076345178308,1.7263820969771717,2006.0,"Animation, Action, Adventure","David Bowers, Sam Fell","United Kingdom, United States",Regular
14574,1.161680296399806,O Menino do Pijama Listrado,7.842,417.3735086701212,"['BBC Film', 'Miramax', 'Heyday Films']",435.300106236986,1.734848062319577,2008.0,"Drama, War",Mark Herman,"United Kingdom, United States",Regular
953,1.1696454695585454,Madagascar,6.9,710.4976273156224,"['Pacific Data Images', 'DreamWorks Animation']",1122.404980565826,1.7263820969771717,2005.0,"Animation, Adventure, Comedy","Eric Darnell, Tom McGrath","United States, Canada",Regular
176,1.1492962477042243,Jogos Mortais,7.418,207.35622928252428,"['Twisted Pictures', 'Evolution Entertainment', 'Saw Productions Inc.']",696.8911012220458,1.743149916696921,2004.0,"Horror, Mystery, Thriller",James Wan,United States,Regular
6479,1.1630885217514555,Eu Sou a Lenda,7.207,872.4970788168314,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Weed Road Pictures', 'Overbrook Entertainment', 'Heyday Films', 'Original Film']",1147.5503137041703,1.7414028222841826,2007.0,"Action, Drama, Horror",Francis Lawrence,"United States, United Kingdom",Regular
1402,1.152197564498597,À Procura da Felicidade,7.902,648.0693641222549,"['Escape Artists', 'Relativity Media', 'Columbia Pictures', 'Overbrook Entertainment']",952.7474982073136,1.7540788761038648,2006.0,"Biography, Drama",Gabriele Muccino,United States,Regular
38575,1.1584659040604364,Karatê Kid,6.535,589.6464974235987,"['Jerry Weintraub Productions', 'Columbia Pictures', 'China Film Group', 'Overbrook Entertainment', 'Zwart Arbeid']",996.7557246227916,1.7682851337281016,2010.0,"Action, Drama, Family",Harald Zwart,"United States, China",Regular
8835,1.1593153285102624,Legalmente Loira,6.769,465.16713284001634,"['Metro-Goldwyn-Mayer', 'Marc Platt Productions']",762.3012368979332,1.7367949458496668,2001.0,"Comedy, Romance",Robert Luketic,United States,Regular
2310,1.1376836032251856,A Lenda de Beowulf,5.891,696.1124988114004,"['Shangri-La Entertainment', 'ImageMovers', 'Warner Bros. Pictures', 'Paramount Pictures']",836.6714445095448,1.752642564054737,2007.0,"Animation, Action, Adventure",Robert Zemeckis,"United States, United Kingdom",Regular
9023,1.1573126733325652,Spirit: O Corcel Indomável,7.693,724.2216935817777,"['DreamWorks Animation', 'DreamWorks Pictures']",730.9188683785894,1.7263820969771717,2002.0,"Animation, Adventure, Drama","Kelly Asbury, Lorna Cook","United States, Canada",Regular
8681,1.1569723123814513,Busca Implacável,7.392,512.855496212847,"['EuropaCorp', 'M6 Films', 'Grive Productions', '20th Century Fox', 'Seaside Film Taken', 'Canal+', 'M6', 'TPS Star', 'All Pictures Media']",873.0330939906559,1.734848062319577,2008.0,"Action, Crime, Thriller",Pierre Morel,"France, United Kingdom, United States",Regular
1359,1.157697107939451,Psicopata Americano,7.4,351.21230005159947,"['Lionsgate', 'Pressman Film', 'Muse Productions', 'Am Psycho Productions']",505.845452461828,1.7422828904202223,2000.0,"Crime, Drama, Horror",Mary Harron,United States,Regular
652,1.1563227488682195,Tróia,7.162,913.2538535888924,"['Warner Bros. Pictures', 'Plan B Entertainment', 'Nimar Studios', 'Radiant Productions', 'Helena Productions', 'Latina Pictures']",1094.9031192263806,1.7788949605647546,2004.0,"Adventure, Drama",Wolfgang Petersen,"United States, Bulgaria, United Kingdom",Regular
1267,1.1477732812366443,A Família do Futuro,6.906,872.4970788168314,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",802.4058090799243,1.7358293061631824,2007.0,"Animation, Adventure, Comedy",Stephen J. Anderson,United States,Regular
