id,popularidade,titulo,voto_popular,orcamento,produtoras,receita,duracao,ano,genero,diretor,pais,avaliacao_da_critica
440,1.1767142371493773,Alien vs. Predador 2,5.168,589.6464974235987,"['Dune Entertainment', 'Davis Entertainment', '20th Century Fox', 'Brandywine Productions']",743.9362616909018,1.734848062319577,2007.0,"Action, Horror, Sci-Fi","Colin Strause, Greg Strause",United States,Ruim
9738,1.1632524204827035,Quarteto Fantástico,5.8,773.738369595749,"['Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG', '1492 Pictures', 'Marvel Enterprises', '20th Century Fox', 'Bernd Eichinger Productions', 'Constantin Film']",975.7314088020244,1.7456758625083062,2005.0,"Action, Adventure, Fantasy",Tim Story,"Germany, United States",Ruim
8920,1.1682169600317929,Garfield - O Filme,5.7,630.0048228145553,"['Davis Entertainment', '20th Century Fox']",842.8612085210349,1.7192024911419614,2004.0,"Adventure, Comedy, Family",Peter Hewitt,United States,Ruim
38365,1.167852574409716,Gente Grande,6.384,724.2216935817777,"['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions']",919.4335672408232,1.7422828904202223,2010.0,Comedy,Dennis Dugan,United States,Ruim
36648,1.1592375431390465,Blade: Trinity,5.865,680.9836008003193,"['Marvel Enterprises', 'New Line Cinema', 'Amen Ra Films', 'Imaginary Forces', 'Peter Frankfurt Productions']",741.6434964441718,1.7511677012633269,2004.0,"Action, Horror, Sci-Fi",David S. Goyer,United States,Ruim
11351,1.1604181033502934,Olhos Famintos 2,6.133,457.33142867924033,"['Jeepers Creepers II', 'United Artists', 'American Zoetrope', 'Myriad Pictures']",603.3659144507831,1.744004218214072,2003.0,Horror,Victor Salva,United States,Ruim
591,1.146096072339804,O Código Da Vinci,6.725,826.6248425230323,"['Imagine Entertainment', 'Skylark Productions']",1240.8507926553525,1.7838016257474034,2006.0,"Mystery, Thriller",Ron Howard,"United States, Malta, France, United Kingdom",Ruim
676,1.16011643127784,Pearl Harbor,6.937,854.847591612822,"['Touchstone Pictures', 'Jerry Bruckheimer Films']",1063.1971240285632,1.7871557201368042,2001.0,"Action, Drama, Romance",Michael Bay,United States,Ruim
22803,1.1511944567806924,Código de Conduta,7.391,640.988363804354,"['The Film Department', 'Evil Twins', 'Warp Films', 'G-BASE']",739.968791967501,1.7473001548794609,2009.0,"Action, Crime, Drama",F. Gary Gray,United States,Ruim
9072,1.1520082448565097,O Pequenino,5.907,677.8600992503909,"['Wayans Bros. Entertainment', 'Revolution Studios']",692.377651043678,1.73868102547898,2006.0,"Comedy, Crime",Keenen Ivory Wayans,"United States, Canada",Ruim
18239,1.162437482121102,A Saga Crepúsculo: Lua Nova,5.995,630.0048228145553,"['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment']",1213.0918755092566,1.7631802541465882,2009.0,"Adventure, Drama, Fantasy",Chris Weitz,United States,Ruim
