total_languages,total_countries,total_streaming,titulo,cluster
3.1780538303479458,3.4011973816621555,2.0,KILL: O Massacre no Trem,1
3.713572066704308,3.7376696182833684,5.0,É Assim Que Acaba,1
3.4011973816621555,2.8903717578961645,3.0,A Menina e o Dragão,1
3.2188758248682006,2.4849066497880004,16.0,Farang,1
3.828641396489095,3.6888794541139363,1.0,Como Vender a Lua,1
3.4011973816621555,2.833213344056216,0.0,Thelma,1
3.6888794541139363,3.4339872044851463,8.0,Guerra Sem Regras,1
3.6375861597263857,3.784189633918261,1.0,O Corvo,1
3.6888794541139363,3.8066624897703196,6.0,Imaculada,1
3.4657359027997265,3.332204510175204,4.0,O Exorcismo,1
3.4657359027997265,3.332204510175204,4.0,O Exorcismo,1
3.6375861597263857,3.6109179126442243,4.0,MaXXXine,1
3.7612001156935624,2.302585092994046,13.0,Atraídos Pelo Destino,1
3.6375861597263857,3.5553480614894135,8.0,Os Estranhos: Capítulo 1,1
3.4965075614664802,2.8903717578961645,12.0,Pleasure,1
3.713572066704308,3.8066624897703196,1.0,Pisque Duas Vezes,1
3.6888794541139363,3.8066624897703196,6.0,Imaculada,1
3.5263605246161616,2.3978952727983707,10.0,Alienoid,1
2.8903717578961645,1.9459101490553132,4.0,O Último Suspiro,1
3.5553480614894135,3.5263605246161616,16.0,Entrevista com o Demônio,1
3.6635616461296463,3.871201010907891,7.0,O Tarô da Morte,1
3.5553480614894135,3.2188758248682006,13.0,Zona de Risco,1
3.1354942159291497,2.8903717578961645,6.0,Uma Natureza Violenta,1
3.784189633918261,3.1354942159291497,11.0,Alien³,1
3.6375861597263857,3.871201010907891,1.0,Borderlands: O Destino do Universo Está em Jogo,1
3.6109179126442243,3.8918202981106265,5.0,Clube dos Vândalos,1
3.295836866004329,3.9889840465642745,0.0,HAIKYU!! The Dumpster Battle,1
3.784189633918261,3.1780538303479458,11.0,Alien: A Ressurreição,1
3.332204510175204,4.143134726391533,4.0,SPY x FAMILY CÓDIGO: Branco,1
3.2188758248682006,2.995732273553991,4.0,కల్కి 2898-ఎ.డి,1
3.713572066704308,3.1354942159291497,19.0,A Incrível História de Adaline,1
3.5553480614894135,3.2188758248682006,13.0,Zona de Risco,1
3.4011973816621555,2.1972245773362196,10.0,As Férias da Minha Vida,1
3.7612001156935624,2.833213344056216,17.0,O Corvo,1
3.5263605246161616,3.6109179126442243,7.0,Horizon: Uma Saga Americana - Capítulo 1,1
3.713572066704308,3.1354942159291497,12.0,Alien vs. Predador 2,1
3.6375861597263857,2.772588722239781,10.0,"Corra, Lola, Corra",1
3.713572066704308,3.1354942159291497,19.0,A Incrível História de Adaline,1
3.4339872044851463,2.9444389791664403,10.0,Criação dos Deuses I: Reino das Tempestades,1
2.8903717578961645,2.302585092994046,3.0,The Palace,1
3.6888794541139363,2.9444389791664403,13.0,30 Dias de Noite,1
3.332204510175204,2.4849066497880004,1.0,Era uma Vez um Deadpool,1
3.4339872044851463,2.9444389791664403,10.0,Criação dos Deuses I: Reino das Tempestades,1
3.6375861597263857,3.4965075614664802,6.0,Contra o Mundo,1
3.6888794541139363,3.367295829986474,16.0,Uma Prova de Coragem,1
3.7376696182833684,3.1780538303479458,13.0,Apocalypto,1
3.4339872044851463,3.367295829986474,4.0,Eu Vi o Brilho da TV,1
2.5649493574615367,1.791759469228055,2.0,Vida de Cabra,1
3.4011973816621555,2.5649493574615367,3.0,Lanternas Vermelhas,1
3.6888794541139363,2.9444389791664403,13.0,30 Dias de Noite,1
3.4339872044851463,3.367295829986474,4.0,Eu Vi o Brilho da TV,1
3.784189633918261,3.4011973816621555,7.0,Ratatouille,1
3.332204510175204,2.4849066497880004,1.0,Era uma Vez um Deadpool,1
3.6375861597263857,2.772588722239781,10.0,"Corra, Lola, Corra",1
3.6635616461296463,3.091042453358316,16.0,Herói por Encomenda,1
3.6375861597263857,3.4965075614664802,6.0,Contra o Mundo,1
3.5263605246161616,2.9444389791664403,9.0,Sexta-Feira Muito Louca,1
3.7612001156935624,3.4657359027997265,9.0,Cinderela,1
3.7376696182833684,3.2188758248682006,6.0,Hotel Transilvânia: Transformonstrão,1
3.6109179126442243,3.1354942159291497,7.0,A Nova Onda do Imperador,1
3.5553480614894135,3.970291913552122,8.0,Imaginário: Brinquedo Diabólico,1
3.7376696182833684,3.1780538303479458,8.0,Mulan,1
3.8501476017100584,3.295836866004329,8.0,Toy Story 2,1
3.6375861597263857,3.295836866004329,11.0,Miraculous: As Aventuras de Ladybug - O Filme,1
3.784189633918261,3.2188758248682006,6.0,A Princesa e o Sapo,1
3.6888794541139363,3.1354942159291497,7.0,Lilo & Stitch,1
3.6635616461296463,3.091042453358316,16.0,Herói por Encomenda,1
3.5263605246161616,2.6390573296152584,3.0,Hurricane: O Furacão,1
2.9444389791664403,2.772588722239781,10.0,Garras Vorazes,1
3.7376696182833684,3.1780538303479458,8.0,Mulan,1
3.8501476017100584,3.295836866004329,8.0,Toy Story 2,1
3.4011973816621555,3.1780538303479458,3.0,Conspiração Tequila,1
3.7612001156935624,3.4011973816621555,8.0,O Castelo Animado,1
3.784189633918261,3.091042453358316,7.0,A Bela e a Fera,1
3.828641396489095,3.295836866004329,8.0,Carros 2,1
3.6888794541139363,3.295836866004329,16.0,Gente Grande,1
3.7376696182833684,3.091042453358316,6.0,O Estranho Mundo de Jack,1
3.367295829986474,2.0794415416798357,0.0,Jennifer 8 - A Próxima Vítima,1
3.5263605246161616,3.332204510175204,7.0,Amor à Queima-Roupa,1
3.367295829986474,2.6390573296152584,5.0,Virando o Jogo,1
3.4011973816621555,2.6390573296152584,5.0,Quebra de Sigilo,1
3.784189633918261,3.2188758248682006,6.0,A Princesa e o Sapo,1
3.8066624897703196,3.044522437723423,10.0,A Pequena Sereia,1
3.6375861597263857,3.091042453358316,16.0,Sem Retorno,1
3.6888794541139363,3.295836866004329,16.0,Gente Grande,1
3.332204510175204,2.1972245773362196,14.0,O Jogador,1
3.784189633918261,3.5263605246161616,8.0,Capitão América: O Primeiro Vingador,1
3.784189633918261,3.091042453358316,7.0,A Bela e a Fera,1
3.1780538303479458,3.091042453358316,5.0,Ainda Temos o Amanhã,1
3.7612001156935624,2.8903717578961645,20.0,Pearl: Uma História de Origem 'X',1
3.5553480614894135,2.772588722239781,15.0,Os Sonhadores,1
3.784189633918261,3.4965075614664802,5.0,O Pacto,1
3.784189633918261,3.258096538021482,5.0,Irmão Urso,1
