total_languages,total_countries,total_streaming,titulo,cluster
47.0,124.0,5.0,Divertida Mente 2,2
42.0,122.0,7.0,Planeta dos Macacos: O Reinado,2
53.0,80.0,12.0,Vingadores: Guerra Infinita,2
44.0,119.0,8.0,As Marvels,2
53.0,129.0,20.0,Homem-Aranha: Através do Aranhaverso,2
48.0,121.0,18.0,Duna: Parte Dois,2
43.0,131.0,6.0,Wish: O Poder dos Desejos,2
51.0,145.0,7.0,Avatar: O Caminho da Água,2
45.0,234.0,3.0,Godzilla Minus One,2
45.0,234.0,3.0,Godzilla Minus One,2
51.0,145.0,7.0,Avatar: O Caminho da Água,2
41.0,118.0,8.0,A Primeira Profecia,2
43.0,120.0,6.0,Elementos,2
44.0,92.0,8.0,Thor: Amor e Trovão,2
45.0,128.0,27.0,Five Nights at Freddy's - O Pesadelo Sem Fim,2
49.0,233.0,2.0,Donzela,2
47.0,114.0,10.0,Pobres Criaturas,2
43.0,88.0,8.0,007 Operação Skyfall,2
44.0,91.0,8.0,Doutor Estranho no Multiverso da Loucura,2
43.0,134.0,7.0,Homem-Formiga e a Vespa: Quantumania,2
50.0,98.0,8.0,Pantera Negra: Wakanda para Sempre,2
50.0,98.0,8.0,Pantera Negra: Wakanda para Sempre,2
46.0,125.0,4.0,Red: Crescer é Uma Fera,2
43.0,134.0,7.0,Homem-Formiga e a Vespa: Quantumania,2
46.0,105.0,6.0,Tipos de Gentileza,2
45.0,120.0,7.0,Indiana Jones e A Relíquia do Destino,2
43.0,126.0,5.0,Luca,2
42.0,86.0,11.0,A Paixão de Cristo,2
43.0,95.0,25.0,O Exorcista: O Devoto,2
